hc_id,year,hc_type,HealthCenterName,AK
'2337,2007,fqhc,16th Street Community Health Center,TN
'2821,2006,fqhc,16th Street Community Health Center,TX
'1950,2005,fqhc,16th Street Community Health Center,WA
'1851,2004,fqhc,16th Street Community Health Center,WY
'053060,2014,fqhc,"16TH STREET COMMUNITY HEALTH CENTER, INC.",LA
'053060,2013,fqhc,"16TH STREET COMMUNITY HEALTH CENTER, INC.",MI
'053060,2012,fqhc,"16TH STREET COMMUNITY HEALTH CENTER, INC.",MT
'053060,2011,fqhc,"16TH STREET COMMUNITY HEALTH CENTER, INC.",NH
'1922,2010,fqhc,"16th Street Community Health Center, Inc.",NY
'807,2009,fqhc,"16th Street Community Health Center, Inc.",OK
'772,2008,fqhc,"16th Street Community Health Center, Inc.",PR
'063720,2019,fqhc,"1ST CHOICE HEALTHCARE, INC.",AZ
'063720,2018,fqhc,"1ST CHOICE HEALTHCARE, INC.",CA
'063720,2017,fqhc,"1ST CHOICE HEALTHCARE, INC.",CT
'063720,2016,fqhc,"1ST CHOICE HEALTHCARE, INC.",GA
'063720,2015,fqhc,"1ST CHOICE HEALTHCARE, INC.",IN
'063720,2014,fqhc,"1ST CHOICE HEALTHCARE, INC.",MA
'05E01359,2019,lookalike,"219 HEALTH NETWORK, INC.",AK
'04E01371,2019,fqhc,"A+ FAMILY HEALTHCARE, LLC",AL
'09E01211,2019,fqhc,"AAA COMPREHENSIVE HEALTHCARE, INC",CA
'09E01211,2018,fqhc,"AAA COMPREHENSIVE HEALTHCARE, INC",CA
'09E01211,2017,fqhc,"AAA COMPREHENSIVE HEALTHCARE, INC",FL
'09E01211,2016,fqhc,"AAA COMPREHENSIVE HEALTHCARE, INC",IA
'09E01211,2015,fqhc,"AAA COMPREHENSIVE HEALTHCARE, INC",KS
'1086,2004,fqhc,"Aaron E Henry Community Health Services Ctr., Inc.",WI
'046150,2015,fqhc,AARON E. HENRY COMMUNITY HEALTH CENTER,IL
'046150,2014,fqhc,AARON E. HENRY COMMUNITY HEALTH CENTER,LA
'046150,2013,fqhc,AARON E. HENRY COMMUNITY HEALTH CENTER,ME
'046150,2012,fqhc,AARON E. HENRY COMMUNITY HEALTH CENTER,MO
'046150,2011,fqhc,AARON E. HENRY COMMUNITY HEALTH CENTER,ND
'2174,2010,fqhc,AARON E. HENRY COMMUNITY HEALTH CENTER,NY
'1059,2009,fqhc,AARON E. HENRY COMMUNITY HEALTH CENTER,OR
'1015,2008,fqhc,AARON E. HENRY COMMUNITY HEALTH CENTER,PR
'046150,2019,fqhc,"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",AL
'046150,2018,fqhc,"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",CA
'046150,2017,fqhc,"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",CO
'046150,2016,fqhc,"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",GA
'1897,2007,fqhc,"Aaron E. Henry Community Health Services Center, Inc.",TN
'2075,2006,fqhc,"Aaron E. Henry Community Health Services Center, Inc.",TX
'1135,2005,fqhc,"Aaron E. Henry Community Health Services Center, Inc.",UT
'06E01365,2019,lookalike,ACADIANA CARES INC,AK
'0515200,2019,fqhc,"ACCESS COMMUNITY HEALTH CENTERS, INC.",AR
'0515200,2018,fqhc,"ACCESS COMMUNITY HEALTH CENTERS, INC.",CA
'0515200,2017,fqhc,"ACCESS COMMUNITY HEALTH CENTERS, INC.",CO
'0515200,2016,fqhc,"ACCESS COMMUNITY HEALTH CENTERS, INC.",GA
'051750,2019,fqhc,ACCESS COMMUNITY HEALTH NETWORK,AR
'051750,2018,fqhc,ACCESS COMMUNITY HEALTH NETWORK,CA
'051750,2017,fqhc,ACCESS COMMUNITY HEALTH NETWORK,CO
'051750,2016,fqhc,ACCESS COMMUNITY HEALTH NETWORK,GA
'051750,2015,fqhc,ACCESS COMMUNITY HEALTH NETWORK,IL
'051750,2014,fqhc,ACCESS COMMUNITY HEALTH NETWORK,LA
'051750,2013,fqhc,ACCESS COMMUNITY HEALTH NETWORK,MI
'051750,2012,fqhc,ACCESS COMMUNITY HEALTH NETWORK,MO
'051750,2011,fqhc,ACCESS COMMUNITY HEALTH NETWORK,NE
'1293,2010,fqhc,ACCESS COMMUNITY HEALTH NETWORK,NV
'170,2009,fqhc,ACCESS COMMUNITY HEALTH NETWORK,OH
'163,2008,fqhc,ACCESS COMMUNITY HEALTH NETWORK,PA
'2334,2007,fqhc,Access Community Health Network,TN
'2841,2006,fqhc,Access Community Health Network,TX
'1949,2005,fqhc,Access Community Health Network,WA
'1843,2004,fqhc,Access Community Health Network,WY
'1139,2005,fqhc,Access Family Health Services Inc,UT
'973,2004,fqhc,Access Family Health Services Inc,WA
'046860,2019,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",AL
'046860,2018,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",CA
'046860,2017,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",CO
'046860,2016,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",GA
'046860,2015,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",IL
'046860,2014,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",LA
'046860,2013,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",ME
'046860,2012,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",MN
'046860,2011,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",ND
'1563,2010,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",NY
'442,2009,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",OH
'425,2008,fqhc,"ACCESS FAMILY HEALTH SERVICES, INC.",PA
'1662,2007,fqhc,"Access Family Health Services, Inc.",SC
'2106,2006,fqhc,"Access Family Health Services, Inc.",TX
'0613350,2019,fqhc,ACCESS HEALTH LOUISIANA,AZ
'0613350,2018,fqhc,ACCESS HEALTH LOUISIANA,CA
'0613350,2017,fqhc,ACCESS HEALTH LOUISIANA,CT
'0613350,2016,fqhc,ACCESS HEALTH LOUISIANA,GA
'0613350,2015,fqhc,ACCESS HEALTH LOUISIANA,IN
'0613350,2014,fqhc,ACCESS HEALTH LOUISIANA,MA
'0613350,2013,fqhc,ACCESS HEALTH LOUISIANA,MI
'0613350,2012,fqhc,ACCESS HEALTH LOUISIANA,MO
'09E00422,2019,fqhc,ACHIEVABLE FOUNDATION THE,CA
'09E00422,2018,fqhc,ACHIEVABLE FOUNDATION THE,CA
'09E00422,2017,fqhc,ACHIEVABLE FOUNDATION THE,FL
'09E00422,2016,fqhc,ACHIEVABLE FOUNDATION THE,IA
'09E00422,2015,fqhc,ACHIEVABLE FOUNDATION THE,KS
'09E00422,2014,fqhc,ACHIEVABLE FOUNDATION THE,MA
'2988,2006,fqhc,Adams County Health Center,TX
'101840,2019,fqhc,ADAMS COUNTY HEALTH CENTER INC,CA
'101840,2018,fqhc,ADAMS COUNTY HEALTH CENTER INC,CA
'101840,2017,fqhc,ADAMS COUNTY HEALTH CENTER INC,FL
'101840,2016,fqhc,ADAMS COUNTY HEALTH CENTER INC,ID
'101840,2015,fqhc,"ADAMS COUNTY HEALTH CENTER, INC",KS
'101840,2014,fqhc,"ADAMS COUNTY HEALTH CENTER, INC",MA
'101840,2013,fqhc,"ADAMS COUNTY HEALTH CENTER, INC",MN
'101840,2012,fqhc,"ADAMS COUNTY HEALTH CENTER, INC",MT
'101840,2011,fqhc,"ADAMS COUNTY HEALTH CENTER, INC",NM
'2036,2010,fqhc,"Adams County Health Center, Inc",NY
'921,2009,fqhc,"Adams County Health Center, Inc",OR
'884,2008,fqhc,"Adams County Health Center, Inc",PR
'2438,2007,fqhc,"Adams County Health Center, Inc",TX
'10E00467,2019,fqhc,"ADAPT, INC",CA
'10E00467,2018,fqhc,"ADAPT, INC",CA
